"","CameraID","fisher","bobcat","bobcat_rate","lat","lon","AR_mean","perc_decid","perc_conif","perc_mixed","perc_imper","length_km","km_sqkm","percCanop","meanFH","detection_history.o1","detection_history.o2","detection_history.o3","detection_history.o4","detection_history.o5","detection_history.o6","detection_history.o7","detection_history.o8","detection_history.o9","detection_history.o10","detection_history.o11","detection_history.o12","detection_history.o13","detection_history.o14","detection_history.o15","detection_history.o16","detection_history.o17","detection_history.o18","detection_history.o19"
"1","BD000",1,3,0.105263157894737,43.09750198,-70.99875905,2.13557361735881,12.1,17.3,26.4,0.1,55.521,1.964,60.7478640776699,14.0800455312316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2","BD002",0,1,0.0526315789473684,43.10056428,-70.99956688,2.14009011005121,12.1,17.5,27.4,0.111,64.374,2.277,61.6108414239482,14.3683921712091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BD011",0,0,0,43.09685703,-70.99131259,2.11590863272917,13.2,16.7,25.7,0.09,53.241,1.883,60.268785191897,14.0030891797415,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"4","BD045",0,0,0,43.09904548,-70.99415468,2.12224187530679,12.6,16.7,26.6,0.1,61.787,2.185,60.582052360765,14.1155355001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","CA051",0,0,0,43.14301564,-70.93561705,1.76842751700985,11,14.9,16.8,0.352,120.969,4.278,54.7519337195378,12.5538877153071,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","CA055",0,0,0,43.13757816,-70.93634594,1.78003590345892,11.7,15,16.3,0.354,121.578,4.3,55.9534364483562,12.7570943955798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CA062",0,0,0,43.13630349,-70.92717882,1.77829371481538,12.4,14.4,15.9,0.368,120.012,4.245,56.5023943570828,12.9264081574618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CA102",0,0,0,43.13188721,-70.93892522,1.80237395553849,11.8,14,16.3,0.356,124.561,4.405,56.0490583133778,12.745333035406,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CW015",1,0,0,43.13133643,-70.94409786,1.82061214570645,11.6,13.9,17.1,0.341,121.244,4.288,56.3235693940963,12.7956248857474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","CW023",0,0,0,43.13231441,-70.94972447,1.84314816013585,11.9,13.9,18.8,0.316,114.491,4.049,56.5432010873083,12.881477118076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","CW036",0,0,0,43.12968995,-70.93932822,1.8112285921374,11.9,13.5,16.1,0.348,122.155,4.32,55.7187328091124,12.6745277269957,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","CW039",0,1,0.0526315789473684,43.1386505,-70.9500879,1.82918417553306,11.8,14.1,19.1,0.32,116.415,4.117,56.1330506828921,12.7390571364735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","CW042",0,0,0,43.1356087,-70.9467537,1.8188262531118,11.6,14.3,18.6,0.33,116.042,4.104,56.2502022457367,12.7552450392997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","CW048",0,0,0,43.1349196,-70.9405402,1.79704539297576,11.7,14.8,17.1,0.352,121.107,4.283,56.6169827195651,12.8630971725707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","DL020",0,0,0,43.10879336,-70.99861312,2.15761664073748,12.3,16.9,29.1,0.123,66.546,2.354,63.131613863629,14.6884856120956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","DP038",0,0,0,43.10295936,-70.97487135,2.04551497028672,15.8,16.7,26.5,0.09,55.613,1.967,62.9157550650528,14.4702247876103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","EF003",0,0,0,43.1185507,-70.9322307,1.85226167715145,15.8,14.2,20.6,0.259,100.232,3.545,61.5427036473672,13.8814337675005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","EF017",0,0,0,43.11940758,-70.93534984,1.85065330263751,14.6,13.9,20.4,0.267,98.356,3.479,60.13144354917,13.6060957025297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","FBM0002",1,0,0,42.7623679,-71.4891155,1.38642142427564,2.3,3.9,0.8,0.873,309.884,10.96,28.8475876128531,7.6094988964277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20","FBM0004",0,1,0.0526315789473684,42.8593204,-71.136116,2.58782745218507,26.1,6.8,20.6,0.31,100.73,3.563,64.4966831699188,15.5926628716003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","FBM0007",0,0,0,42.8606368,-71.5058631,2.04215423995633,8,15.8,9.8,0.456,164.3,5.811,48.9316939006633,12.5476987106251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","FBM0008",0,0,0,42.7879127,-71.5485786,1.95011478237735,14.1,18.6,10.9,0.35,91.444,3.234,54.8391909385113,13.5547521294197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","FBM0010",0,1,0.0526315789473684,43.10004,-71.3486,1.70720828981711,16.5,16.7,46.5,0.034,30.115,1.065,75.2223408730544,16.5933550091445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","FBM0011",2,0,0,43.04331,-71.229,2.22025167175941,10.8,15.7,36.5,0.156,71.282,2.521,63.8881985567744,14.1705079436115,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","FBM0014",1,0,0,43.06503,-71.3984,1.79265807450448,22.3,11.4,31.8,0.135,52.443,1.855,67.5783631597683,15.1901478634043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","FBM0015",0,2,0.105263157894737,43.0979913,-71.1941927,1.58193778191904,14.5,27.6,39.6,0.035,28.998,1.026,76.5820441452521,16.5136602024637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","FBM0016",0,2,0.105263157894737,43.0940943,-70.8428065,1.55029978139115,9,10.4,8.6,0.247,76.265,2.697,32.0577346278317,6.98111788617886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","FBM0017",0,0,0,42.98387,-71.394,1.51308337318413,8.7,10.7,7.7,0.414,144.162,5.099,38.4634027957546,9.28424824890047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","FBM0018",2,5,0.157894736842105,42.8929869,-71.4743349,1.90517828822136,8.3,16.3,8.4,0.479,166.015,5.872,45.2195145631068,12.1565980012237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"30","FBM0022",0,1,0.0526315789473684,43.1239983,-70.9430329,1.8456288182349,13.1,14.1,18.4,0.295,114.425,4.047,57.8175435190578,13.2144540615222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","FBM0024",0,0,0,43.0849523,-70.8360915,1.48074333767148,7.7,8,7.6,0.331,77.03,2.724,29.4962778353185,6.53048321847493,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"32","FBM0025",0,3,0.157894736842105,43.1634137,-71.2938363,1.73138744155851,20.4,12.9,49.8,0.038,27.094,0.958,72.5453957160422,16.8366021033825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","FBM0027",0,0,0,43.2003215,-71.3089904,1.76398950037833,24.6,9.3,44.8,0.061,39.586,1.4,70.011359223301,16.0898908323526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","FBM0029",1,0,0,43.0451717,-70.7645146,1.8679281035001,4.7,8.1,8.9,0.393,112.882,3.992,51.1930954152781,10.1813540013833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","FBM0031",2,0,0,43.13435,-71.4024,1.57668956816216,16.7,16.9,39.6,0.075,39.98,1.414,69.5593812698207,14.4100491490312,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","FBM0034",0,1,0.0526315789473684,43.1188314,-71.1679479,1.58309106360469,17.8,21.6,39.5,0.021,24.747,0.875,75.6583392660669,16.4812052990897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","FBM0039",0,1,0.0526315789473684,43.05801,-70.8729,1.76305013780084,6.8,4.3,9.9,0.125,44.663,1.58,25.7314587108465,6.11585477473813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","FBM0041",0,2,0.105263157894737,42.9286276,-71.4717987,1.894461395725,7,13.8,7.6,0.597,162.062,5.732,41.3268179023333,10.8079062659195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","FBM0042",1,2,0.105263157894737,42.9336074,-71.2091562,2.53536712467028,11.3,15,34.8,0.173,85.099,3.01,61.7636987409781,15.160641506358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
