CameraID,fisher,bobcat,latitude,longitude,perc_decid,perc_conif,perc_mixed,perc_imper,length_km,km_sqkm,percCanop,meanFH,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19
BD000,1,3,43.09750198,-70.99875905,12.1,17.3,26.4,0.1,55.521,1.964,60.7478640776699,14.08004553123158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BD002,0,1,43.10056428,-70.99956688,12.1,17.5,27.4,0.111,64.374,2.277,61.61084142394822,14.368392171209072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD011,0,0,43.09685703,-70.99131259,13.2,16.7,25.7,0.09,53.241,1.883,60.26878519189697,14.003089179741483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD045,0,0,43.09904548,-70.99415468,12.6,16.7,26.6,0.1,61.787,2.185,60.58205236076503,14.115535500132122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA051,0,0,43.14301564,-70.93561705,11,14.9,16.8,0.352,120.969,4.278,54.751933719537845,12.553887715307118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA055,0,0,43.13757816,-70.93634594,11.7,15,16.3,0.354,121.578,4.3,55.9534364483562,12.75709439557984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA062,0,0,43.13630349,-70.92717882,12.4,14.4,15.9,0.368,120.012,4.245,56.50239435708277,12.92640815746176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA102,0,0,43.13188721,-70.93892522,11.8,14,16.3,0.356,124.561,4.405,56.04905831337778,12.74533303540596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW015,1,0,43.13133643,-70.94409786,11.6,13.9,17.1,0.341,121.244,4.288,56.32356939409632,12.795624885747364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW023,0,0,43.13231441,-70.94972447,11.9,13.9,18.8,0.316,114.491,4.049,56.543201087308255,12.88147711807601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW036,0,0,43.12968995,-70.93932822,11.9,13.5,16.1,0.348,122.155,4.32,55.71873280911238,12.674527726995734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW039,0,1,43.1386505,-70.9500879,11.8,14.1,19.1,0.32,116.415,4.117,56.1330506828921,12.739057136473503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW042,0,0,43.1356087,-70.9467537,11.6,14.3,18.6,0.33,116.042,4.104,56.25020224573666,12.755245039299714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW048,0,0,43.1349196,-70.9405402,11.7,14.8,17.1,0.352,121.107,4.283,56.61698271956508,12.863097172570686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL020,0,0,43.10879336,-70.99861312,12.3,16.9,29.1,0.123,66.546,2.354,63.131613863629006,14.688485612095594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP038,0,0,43.10295936,-70.97487135,15.8,16.7,26.5,0.09,55.613,1.967,62.91575506505276,14.47022478761026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EF003,0,0,43.1185507,-70.9322307,15.8,14.2,20.6,0.259,100.232,3.545,61.542703647367226,13.881433767500456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EF017,0,0,43.11940758,-70.93534984,14.6,13.9,20.4,0.267,98.356,3.479,60.131443549169994,13.606095702529716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0002,1,0,42.7623679,-71.4891155,2.3,3.9,0.8,0.873,309.884,10.96,28.84758761285312,7.609498896427696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBM0004,0,1,42.8593204,-71.136116,26.1,6.8,20.6,0.31,100.73,3.563,64.49668316991878,15.592662871600252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0007,0,0,42.8606368,-71.5058631,8,15.8,9.8,0.456,164.3,5.811,48.931693900663326,12.547698710625102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0008,0,0,42.7879127,-71.5485786,14.1,18.6,10.9,0.35,91.444,3.234,54.83919093851133,13.554752129419697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0010,0,1,43.10004,-71.3486,16.5,16.7,46.5,0.034,30.115,1.065,75.2223408730544,16.59335500914448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0011,2,0,43.04331,-71.229,10.8,15.7,36.5,0.156,71.282,2.521,63.88819855677443,14.170507943611549,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0014,1,0,43.06503,-71.3984,22.3,11.4,31.8,0.135,52.443,1.855,67.57836315976829,15.190147863404317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0015,0,2,43.0979913,-71.1941927,14.5,27.6,39.6,0.035,28.998,1.026,76.58204414525213,16.513660202463715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBM0016,0,2,43.0940943,-70.8428065,9,10.4,8.6,0.247,76.265,2.697,32.057734627831714,6.981117886178862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
